,ht,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,win_ratio,top_25_reached
Young Seok Kim,,3.2413793103448274,3.4827586206896552,70.72413793103448,40.172413793103445,25.82758620689655,14.10344827586207,10.310344827586206,4.931034482758621,8.689655172413794,0.22404074748553476,0.0
Min Kyu Song,,4.9411764705882355,2.7058823529411766,60.05882352941177,33.8235294117647,24.941176470588236,14.411764705882353,10.058823529411764,2.6470588235294117,4.764705882352941,0.40247056727035463,0.0
Yong Kyu Lim,185.0,5.133333333333334,1.8666666666666667,65.33333333333333,37.91111111111111,26.844444444444445,15.133333333333333,10.6,2.6444444444444444,4.8,1.0149729039749915,0.0
Hong Chung,,1.2142857142857142,2.642857142857143,74.10714285714286,45.107142857142854,28.285714285714285,14.892857142857142,10.607142857142858,5.357142857142857,8.5,0.9639598559220246,0.0
Ji Sung Nam,183.0,2.6,2.3,67.46,44.14,28.6,11.28,10.26,3.9,6.9,0.846764023271972,0.0
Edoardo Lamberti,,0.3333333333333333,1.6666666666666667,61.333333333333336,35.333333333333336,22.333333333333332,11.0,9.666666666666666,4.0,8.0,0.0,0.0
Daniele Spinnato,,1.3636363636363635,2.5454545454545454,64.36363636363636,41.27272727272727,27.454545454545453,10.0,10.545454545454545,3.4545454545454546,6.7272727272727275,0.6823722557140594,0.0
Albano Olivetti,203.0,16.040816326530614,5.6938775510204085,75.9795918367347,42.326530612244895,34.95918367346939,17.571428571428573,12.224489795918368,2.877551020408163,4.36734693877551,1.686047272306479,0.0
Alberto Brizzi,,,,,,,,,,,0.6689173833156388,0.0
Andrea Basso,,5.28,2.84,76.28,45.08,30.58,15.76,11.44,4.66,7.58,0.6022808921552393,0.0
Fred Simonsson,188.0,6.233333333333333,6.233333333333333,77.36666666666666,44.03333333333333,31.466666666666665,15.4,11.633333333333333,4.233333333333333,7.2,0.5670924293968576,0.0
Riccardo Maiga,,5.571428571428571,5.428571428571429,69.0,38.42857142857143,26.714285714285715,13.285714285714286,10.428571428571429,2.857142857142857,6.142857142857143,0.2791327913279133,0.0
Tom Fawcett,,5.511627906976744,5.325581395348837,73.20930232558139,43.13953488372093,30.13953488372093,13.44186046511628,10.604651162790697,4.953488372093023,8.093023255813954,0.9313509727370016,0.0
Filip Bergevi,,5.7368421052631575,3.3157894736842106,73.0,39.473684210526315,28.68421052631579,15.736842105263158,11.368421052631579,4.105263157894737,7.052631578947368,0.12773224043715847,0.0
Andre Goransson,,2.9411764705882355,4.294117647058823,64.3529411764706,35.11764705882353,22.823529411764707,12.176470588235293,10.176470588235293,3.7058823529411766,7.823529411764706,0.12679765304670929,0.0
Connor Farren,,6.107142857142857,5.214285714285714,71.42857142857143,40.964285714285715,27.857142857142858,14.464285714285714,11.107142857142858,4.25,7.535714285714286,0.19944628190113484,0.0
Matt Reid,183.0,6.023255813953488,4.093023255813954,73.30232558139535,41.23255813953488,28.930232558139537,15.720930232558139,11.372093023255815,4.511627906976744,7.465116279069767,0.38033528854618276,0.0
Antoine Escoffier,,3.3877551020408165,3.163265306122449,65.18367346938776,36.69387755102041,24.653061224489797,13.489795918367347,9.959183673469388,3.6530612244897958,6.673469387755102,0.4057941316368036,0.0
Antal Van Der Duim,185.0,3.3333333333333335,3.41025641025641,63.256410256410255,36.256410256410255,24.205128205128204,12.743589743589743,9.897435897435898,3.923076923076923,6.948717948717949,0.43540697562332703,0.0
Alexandre Penaud,,4.0588235294117645,1.8823529411764706,62.35294117647059,37.88235294117647,26.294117647058822,11.470588235294118,9.588235294117647,4.0,6.647058823529412,0.5243796419188567,0.0
Ivan Sabanov,,1.1428571428571428,4.523809523809524,59.714285714285715,39.333333333333336,22.333333333333332,7.904761904761905,8.904761904761905,4.761904761904762,9.19047619047619,0.0325498726655348,0.0
Laurent Rochette,,3.375,2.925,70.1,41.175,27.2,14.15,10.6,4.15,7.325,0.2929351686366723,0.0
Eduardo Dischinger,,2.272727272727273,3.6363636363636362,70.63636363636364,39.81818181818182,25.227272727272727,13.909090909090908,10.954545454545455,4.863636363636363,9.136363636363637,0.37988858884857524,0.0
Walter Trusendi,,2.7567567567567566,1.945945945945946,72.35135135135135,48.972972972972975,30.486486486486488,11.35135135135135,10.675675675675675,4.918918918918919,8.45945945945946,0.8260645197810955,0.0
Adelchi Virgili,,3.511111111111111,5.088888888888889,71.93333333333334,39.91111111111111,27.177777777777777,14.444444444444445,11.022222222222222,4.266666666666667,7.822222222222222,0.631598906463427,0.0
Antonio Sancic,,7.027777777777778,4.388888888888889,69.36111111111111,38.138888888888886,26.416666666666668,14.444444444444445,10.527777777777779,3.7777777777777777,6.916666666666667,0.3184116155090394,0.0
Marco Bortolotti,,2.1,2.84,72.28,45.72,28.38,12.54,10.58,4.74,8.34,0.3665454777183717,0.0
Andrea Collarini,185.0,2.75,3.5,71.10416666666667,44.041666666666664,29.645833333333332,13.583333333333334,11.3125,3.8125,6.875,0.7131485674763242,0.0
Fabrizio Ornago,,3.82,3.76,73.18,44.26,30.02,14.12,11.26,3.6,6.74,0.22453226724383266,0.0
Claudio Fortuna,,1.6666666666666667,3.1666666666666665,69.91666666666667,38.25,23.666666666666668,14.666666666666666,10.75,4.75,9.083333333333334,0.22299447201968525,0.0
Laurynas Grigelis,183.0,5.2,3.422222222222222,69.28888888888889,43.266666666666666,30.77777777777778,12.444444444444445,10.866666666666667,3.6,6.111111111111111,0.8277428704728357,0.0
Ricardo Rodriguez,189.0,2.9166666666666665,1.5555555555555556,71.55555555555556,49.5,32.30555555555556,11.194444444444445,11.055555555555555,4.194444444444445,7.0,0.5181076825504458,0.0
Marco Mosciatti,,1.3333333333333333,8.333333333333334,57.0,32.333333333333336,22.333333333333332,8.0,8.666666666666666,3.3333333333333335,7.0,0.0,0.0
Miguel Angel Reyes Varela,175.0,3.0,3.033333333333333,72.1,41.46666666666667,27.533333333333335,14.6,10.666666666666666,3.966666666666667,7.233333333333333,0.38381030671310995,0.0
Vladimir Uzhylovsky,183.0,4.72093023255814,4.4186046511627906,64.79069767441861,35.83720930232558,25.906976744186046,12.813953488372093,10.023255813953488,3.883720930232558,6.674418604651163,0.1894570085755796,0.0
Cristian Rodriguez,180.0,3.125,2.6458333333333335,68.25,40.520833333333336,27.916666666666668,15.1875,10.770833333333334,3.3541666666666665,5.8125,0.4954220093570388,0.0
Filippo Giorgetti,,0.6666666666666666,2.3333333333333335,36.333333333333336,19.666666666666668,11.666666666666666,6.666666666666667,7.0,0.6666666666666666,4.0,0.0,0.0
Hunter Callahan,,5.090909090909091,2.727272727272727,76.36363636363636,43.36363636363637,29.727272727272727,16.272727272727273,10.909090909090908,4.7272727272727275,7.363636363636363,0.35854493971501644,0.0
Ivan Nedelko,185.0,1.9795918367346939,2.4081632653061225,65.40816326530613,36.224489795918366,22.571428571428573,13.612244897959183,9.938775510204081,3.8979591836734695,7.63265306122449,0.24871497171400148,0.0
Florian Reynet,,2.4,3.6,67.25,40.0,25.7,13.55,10.0,4.0,7.15,0.21877455739033067,0.0
Isaac Frost,,9.428571428571429,3.857142857142857,61.0,34.42857142857143,24.142857142857142,12.428571428571429,9.428571428571429,1.8571428571428572,4.571428571428571,0.0,0.0
Connor Smith,,4.020833333333333,2.9166666666666665,71.79166666666667,45.3125,29.5,12.270833333333334,10.5625,5.041666666666667,8.229166666666666,0.31379817132316656,0.0
Sebastien Boltz,,3.0476190476190474,2.857142857142857,68.28571428571429,39.904761904761905,26.19047619047619,14.142857142857142,10.428571428571429,4.142857142857143,7.380952380952381,0.7087504394881343,0.0
Maxime Hamou,185.0,2.382978723404255,2.5531914893617023,76.72340425531915,49.234042553191486,31.72340425531915,13.51063829787234,11.340425531914894,5.170212765957447,8.404255319148936,0.41819503430484495,0.0
Joffrey De Schepper,,5.375,2.5625,68.75,43.125,30.125,11.4375,10.375,4.125,6.6875,0.3942032099116781,0.0
Liang Yu Richard Lin,,1.5,8.25,73.75,41.5,27.25,14.0,10.5,4.25,8.5,0.0,0.0
Cheng Peng Hsieh,,4.25,6.357142857142857,64.42857142857143,35.0,23.607142857142858,13.0,9.607142857142858,4.357142857142857,7.714285714285714,0.027934348074392275,0.0
Shao Fan Liu,,8.0,1.875,75.875,51.75,38.25,13.125,12.0,4.125,5.875,1.060165599413115,0.0
Wei De Lin,,2.625,4.0,70.25,41.875,27.75,13.0,10.625,4.0,7.625,0.15479261048882498,0.0
Sanchai Ratiwatana,175.0,3.25,2.625,66.0,41.375,27.75,10.375,9.875,4.125,7.25,0.2061646363971945,0.0
Wen Chun Liang,,0.5,1.5,80.0,55.0,27.0,12.5,11.5,6.5,12.5,0.35456989247311826,0.0
David O'Hare,,5.294117647058823,6.294117647058823,69.52941176470588,43.05882352941177,29.764705882352942,11.470588235294118,10.294117647058824,4.235294117647059,7.0,0.0,0.0
Sonchat Ratiwatana,175.0,3.3,3.3,63.9,38.6,26.1,11.4,9.8,3.5,6.7,0.16437045145179116,0.0
Wishaya Trongcharoenchaikul,193.0,6.041666666666667,3.75,69.375,40.25,29.291666666666668,13.583333333333334,10.75,3.5,6.166666666666667,0.296281576868718,0.0
Arata Onozawa,,5.117647058823529,3.4705882352941178,69.05882352941177,40.470588235294116,30.0,14.588235294117647,11.0,2.7058823529411766,4.9411764705882355,0.5025705579650902,0.0
Yannick Vandenbulcke,,1.4545454545454546,6.409090909090909,60.90909090909091,32.63636363636363,21.727272727272727,13.136363636363637,9.590909090909092,3.3181818181818183,6.590909090909091,0.25749938532782785,0.0
Alexander Bury,203.0,6.428571428571429,2.4693877551020407,63.734693877551024,39.44897959183673,27.836734693877553,11.775510204081632,10.16326530612245,3.2448979591836733,5.775510204081633,0.6158331019524557,0.0
Jonas Merckx,,3.3333333333333335,7.666666666666667,80.0,42.333333333333336,27.666666666666668,16.0,11.666666666666666,5.333333333333333,9.666666666666666,0.0,0.0
Matwe Middelkoop,191.0,4.0,3.0,62.0,28.0,15.0,17.0,9.0,1.0,5.0,0.8284747618656594,0.0
Christopher Heyman,,4.84,2.84,74.26,48.74,33.16,12.82,11.34,3.96,6.52,0.4826917152834492,0.0
Mico Santiago,,1.2222222222222223,5.777777777777778,56.888888888888886,33.44444444444444,19.555555555555557,9.777777777777779,8.666666666666666,4.444444444444445,8.444444444444445,0.0,0.0
Mikelis Libietis,188.0,5.916666666666667,3.6666666666666665,65.91666666666667,36.833333333333336,26.291666666666668,12.75,10.0,3.5416666666666665,6.416666666666667,0.26363697155863497,0.0
Geronimo Barrios,,2.0,7.0,64.66666666666667,30.666666666666668,20.0,18.333333333333332,10.333333333333334,3.6666666666666665,7.333333333333333,0.6517119244391972,0.0
Maximiliano Estevez,,2.04,3.88,67.5,42.34,26.5,11.5,10.32,4.32,8.02,0.37941278826030284,0.0
Adrien Puget,,5.375,5.0,79.75,43.375,30.75,15.75,11.625,4.875,8.125,0.2547645759912759,0.0
Filippo Baldi,183.0,2.78,2.66,75.76,48.04,32.22,13.8,11.34,4.5,7.44,0.8397654105252316,0.0
Roman Jebavy,,2.1627906976744184,3.7906976744186047,71.53488372093024,45.18604651162791,28.3953488372093,12.023255813953488,10.534883720930232,5.3023255813953485,9.069767441860465,0.4969028831660603,0.0
Goncalo Oliveira,,1.9591836734693877,2.7142857142857144,68.08163265306122,46.285714285714285,29.3265306122449,10.63265306122449,10.326530612244898,3.938775510204082,7.020408163265306,0.4231975191276011,0.0
Daniele Capecchi,,1.28,3.76,60.88,38.52,23.96,9.64,9.8,3.44,7.32,0.5026699962484227,0.0
Fabiano De Paula,178.0,1.7608695652173914,2.239130434782609,68.69565217391305,43.76086956521739,28.717391304347824,12.130434782608695,10.565217391304348,3.8043478260869565,6.913043478260869,0.5641398830152631,0.0
Ljubomir Celebic,,4.0,2.8666666666666667,74.33333333333333,45.2,31.0,16.333333333333332,11.466666666666667,4.133333333333334,6.466666666666667,0.40362032076196747,0.0
Joao Pedro Sorgi,188.0,3.34,2.94,70.86,42.64,28.36,13.8,10.68,4.02,7.14,0.6116778498863862,0.0
Davide Galoppini,,0.8095238095238095,4.190476190476191,73.0,47.38095238095238,27.523809523809526,11.142857142857142,10.80952380952381,4.428571428571429,8.952380952380953,0.3217672918315555,0.0
Pascal Meis,,3.090909090909091,2.272727272727273,58.0,36.18181818181818,23.727272727272727,11.090909090909092,9.0,3.909090909090909,6.363636363636363,0.14743130227001194,0.0
Grigoriy Lomakin,,3.238095238095238,2.4523809523809526,62.595238095238095,40.904761904761905,25.88095238095238,9.476190476190476,9.380952380952381,4.071428571428571,7.380952380952381,0.12939946839223787,0.0
Temur Ismailov,,6.326530612244898,3.0,66.6938775510204,37.734693877551024,26.081632653061224,12.53061224489796,10.244897959183673,3.7755102040816326,7.142857142857143,0.349637209006602,0.0
Vishnu Vardhan,188.0,8.021739130434783,2.9130434782608696,72.82608695652173,46.19565217391305,33.32608695652174,12.478260869565217,11.282608695652174,3.1739130434782608,5.586956521739131,0.3483787924895959,0.0
Sanjar Fayziev,188.0,5.6,3.04,72.12,42.36,28.74,13.82,10.66,4.1,7.12,0.37052745653900104,0.0
Zhe Li,185.0,3.3404255319148937,1.4893617021276595,67.42553191489361,45.08510638297872,29.361702127659573,11.02127659574468,10.53191489361702,3.5531914893617023,6.638297872340425,0.3812939346463676,0.0
Tim Van Terheijden,,0.0,4.333333333333333,53.666666666666664,31.666666666666668,15.333333333333334,9.0,7.666666666666667,4.666666666666667,9.333333333333334,0.0,0.0
Lukas Mugevicius,188.0,3.1818181818181817,3.8181818181818183,64.54545454545455,34.63636363636363,22.272727272727273,13.545454545454545,9.636363636363637,4.7272727272727275,8.272727272727273,0.46820010268422957,0.0
Julian Onken,,1.25,1.75,63.5,39.25,24.75,12.0,9.5,2.0,4.25,0.19777178045834762,0.0
Pawel Cias,,3.0454545454545454,2.3636363636363638,66.9090909090909,32.22727272727273,21.363636363636363,17.25,10.477272727272727,3.727272727272727,7.204545454545454,0.9349696540019651,0.0
Leon Schutt,,4.0,1.3333333333333333,58.333333333333336,37.666666666666664,26.666666666666668,10.666666666666666,9.0,4.0,5.666666666666667,1.2142718998862343,0.0
Jordi Munoz Abreu,,2.5,4.75,68.75,39.375,24.0,14.375,10.375,4.75,8.5,0.2227155012948576,0.0
Antonio Massara,,2.090909090909091,3.090909090909091,71.9090909090909,40.86363636363637,25.318181818181817,15.227272727272727,11.090909090909092,5.136363636363637,9.090909090909092,0.33878994511253097,0.0
Gianluca Di Nicola,,1.3958333333333333,3.6666666666666665,70.6875,42.791666666666664,28.083333333333332,13.5625,10.625,4.583333333333333,7.708333333333333,0.7047121879695163,0.0
Sergio Galdos,180.0,2.5625,3.0625,61.03125,39.65625,24.90625,9.46875,9.34375,3.65625,7.125,0.07082228116710874,0.0
Juan Lizariturry,,2.0344827586206895,2.5517241379310347,66.48275862068965,41.48275862068966,26.103448275862068,10.551724137931034,10.03448275862069,4.482758620689655,8.344827586206897,0.5178124319332711,0.0
Danylo Kalenichenko,188.0,4.5,2.659090909090909,68.47727272727273,42.20454545454545,29.613636363636363,13.0,10.681818181818182,3.522727272727273,6.090909090909091,0.42649698030603894,0.0
Geoffrey Blancaneaux,180.0,2.0444444444444443,3.488888888888889,68.22222222222223,41.68888888888889,26.555555555555557,12.266666666666667,10.422222222222222,4.288888888888889,7.977777777777778,0.2964437280428969,0.0
Libor Salaba,,3.0,7.0,77.0,43.0,26.0,13.25,11.75,4.25,10.0,0.14686468646864687,0.0
Sander Arends,,2.75,4.583333333333333,63.833333333333336,32.916666666666664,21.666666666666668,12.666666666666666,9.666666666666666,4.666666666666667,8.416666666666666,0.2170245398773006,0.0
David Pel,,4.583333333333333,5.333333333333333,57.666666666666664,35.666666666666664,23.666666666666668,9.666666666666666,9.166666666666666,2.9166666666666665,5.833333333333333,0.23526892643551092,0.0
Alexis Musialek,,2.1538461538461537,2.5384615384615383,79.38461538461539,50.794871794871796,32.15384615384615,13.256410256410257,11.435897435897436,5.384615384615385,9.051282051282051,0.3557213954570406,0.0
Gerard Granollers,180.0,2.0,1.6122448979591837,68.75510204081633,41.87755102040816,26.122448979591837,13.0,10.387755102040817,3.8979591836734695,7.387755102040816,0.28814862690400955,0.0
Johan Sebastien Tatlot,,3.2888888888888888,4.155555555555556,69.75555555555556,42.17777777777778,28.022222222222222,12.866666666666667,10.844444444444445,4.2,7.5777777777777775,0.48821677108889755,0.0
Dmitry Surchenko,,2.235294117647059,6.9411764705882355,64.41176470588235,33.529411764705884,21.235294117647058,11.647058823529411,9.411764705882353,3.6470588235294117,7.882352941176471,0.32442819569848,0.0
Sarp Agabigun,178.0,2.142857142857143,3.607142857142857,65.67857142857143,38.464285714285715,23.642857142857142,10.785714285714286,10.107142857142858,4.178571428571429,8.642857142857142,0.18361494693426808,0.0
Marek Jaloviec,,3.297872340425532,4.0212765957446805,64.87234042553192,39.57446808510638,26.19148936170213,11.74468085106383,9.936170212765957,3.6808510638297873,6.851063829787234,0.2533080857144447,0.0
Kevin Griekspoor,,4.444444444444445,4.0,72.0,45.44444444444444,31.0,11.777777777777779,10.666666666666666,5.333333333333333,8.333333333333334,0.7735608766156666,0.0
Vladyslav Manafov,,5.4,4.58,68.88,39.96,28.9,14.42,10.8,3.32,5.6,0.3903599639345319,0.0
Patricio Heras,,1.32,3.24,68.16,41.5,25.6,13.1,10.52,4.06,7.72,0.6124154003805016,0.0
Hernan Casanova,,0.24,1.46,70.12,52.3,29.14,8.2,10.36,4.9,9.24,0.32683898753253354,0.0
Gregoire Jacq,,2.3333333333333335,3.9166666666666665,66.9375,42.104166666666664,26.708333333333332,12.041666666666666,10.0,4.041666666666667,7.0625,0.5805471715443103,0.0
Lucas Miedler,183.0,2.4565217391304346,2.0,69.0,41.891304347826086,27.869565217391305,13.673913043478262,10.782608695652174,4.043478260869565,7.021739130434782,0.45013104208191396,0.0
Abror Isakov,,0.75,1.75,84.75,61.0,36.75,11.0,12.0,7.25,11.0,0.0,0.0
Odil Akramov,,2.25,2.0,51.0,29.25,18.25,9.75,8.25,3.25,6.5,0.0,0.0
Jeevan Nedunchezhiyan,173.0,3.6739130434782608,3.239130434782609,64.76086956521739,37.108695652173914,24.847826086956523,13.956521739130435,10.130434782608695,3.391304347826087,6.239130434782608,0.2308849395409708,0.0
Richard Muzaev,,3.9655172413793105,1.896551724137931,67.20689655172414,39.58620689655172,27.96551724137931,13.0,10.517241379310345,3.6206896551724137,6.241379310344827,0.9787968251758808,0.0
Alexander Lobkov,,3.2444444444444445,2.8222222222222224,71.31111111111112,41.08888888888889,26.844444444444445,14.444444444444445,10.555555555555555,4.511111111111111,7.822222222222222,0.3657898892030184,0.0
Matias Zukas,,3.58,2.56,67.12,36.82,24.88,15.22,10.28,3.7,6.64,0.40325158248750176,0.0
Jorge Brian Panta Herreros,,2.98,2.1,68.98,38.46,25.84,13.58,10.48,4.0,7.52,0.23880689458151685,0.0
Naoki Nakagawa,,4.16,3.26,70.54,38.42,26.24,15.6,10.78,4.4,7.56,0.32960393367163876,0.0
Roberto Cid,193.0,2.48,3.84,73.46,43.44,29.98,14.46,11.38,4.12,7.18,0.6736532320692449,0.0
Luis Patino,183.0,2.84,3.24,67.7,38.94,24.46,12.74,10.02,4.8,8.66,0.11215630797341011,0.0
Mauricio Echazu,174.0,1.3636363636363635,2.8863636363636362,67.27272727272727,45.88636363636363,27.0,9.681818181818182,10.113636363636363,4.181818181818182,8.136363636363637,0.2870498265377181,0.0
Juan Sebastian Gomez,,1.7555555555555555,5.5777777777777775,66.24444444444444,41.2,24.444444444444443,9.777777777777779,9.644444444444444,4.7555555555555555,9.266666666666667,0.4545419208689594,0.0
Sardor Pulatov,,2.3333333333333335,3.3333333333333335,66.16666666666667,40.666666666666664,27.833333333333332,10.5,9.666666666666666,4.833333333333333,7.666666666666667,0.0,0.0
Kento Takeuchi,,2.7674418604651163,1.558139534883721,64.20930232558139,39.30232558139535,25.046511627906977,11.976744186046512,9.744186046511627,4.023255813953488,7.162790697674419,0.15918077763445315,0.0
Masaya Kobayashi,,1.0,1.25,58.75,39.5,23.75,10.0,9.25,3.5,6.75,0.3773946360153257,0.0
Issei Okamura,,2.8,3.08,69.72,41.88,27.2,13.32,10.68,4.08,7.48,0.25199482861586747,0.0
Shintaro Imai,,4.448979591836735,3.163265306122449,68.53061224489795,36.673469387755105,25.775510204081634,14.755102040816327,10.46938775510204,3.673469387755102,6.775510204081633,0.46525009160207575,0.0
Ken Onoda,,6.6,2.8,61.6,36.6,26.8,10.2,10.4,3.6,6.6,0.19063829787234043,0.0
Yuta Shimizu,163.0,2.46,2.22,65.7,39.56,26.64,12.9,10.14,3.76,6.5,0.6621594156575911,0.0
Kuan Yi Lee,,2.3870967741935485,1.8387096774193548,59.935483870967744,40.87096774193548,26.677419354838708,9.193548387096774,9.548387096774194,3.6774193548387095,6.419354838709677,0.3106961376401188,0.0
Yusuke Takahashi,170.0,3.5,2.94,72.26,38.82,27.34,15.96,10.98,4.06,7.18,0.4537293877011947,0.0
Gabriel Alejandro Hidalgo,,1.0,3.1818181818181817,71.63636363636364,41.90909090909091,26.90909090909091,15.181818181818182,10.454545454545455,5.0,8.090909090909092,0.20497083606370156,0.0
Daniel Mora,,0.6666666666666666,5.166666666666667,61.833333333333336,37.916666666666664,20.0,9.75,9.416666666666666,3.1666666666666665,8.166666666666666,0.053805507570368866,0.0
Alejandro Gomez Gb42,188.0,7.5,6.086956521739131,73.45652173913044,40.58695652173913,28.804347826086957,17.0,11.282608695652174,4.065217391304348,6.565217391304348,0.8960809472498109,0.0
Sebastian Serrano,,1.3333333333333333,3.066666666666667,60.733333333333334,37.2,23.066666666666666,9.066666666666666,9.0,4.6,8.533333333333333,0.1693903144663224,0.0
Bastian Trinker,191.0,5.441860465116279,3.6744186046511627,72.18604651162791,43.23255813953488,29.325581395348838,13.930232558139535,10.813953488372093,4.465116279069767,7.395348837209302,0.5415233778577775,0.0
Cheong Eui Kim,,3.4489795918367347,2.4693877551020407,70.51020408163265,43.63265306122449,29.387755102040817,13.306122448979592,10.612244897959183,4.244897959183674,7.0,0.4848138266081731,0.0
Tsung Hua Yang,178.0,5.206896551724138,1.8275862068965518,71.41379310344827,45.44827586206897,31.344827586206897,12.586206896551724,10.724137931034482,4.758620689655173,7.103448275862069,0.7010201251435885,0.0
Ettore Zito,,0.6666666666666666,2.3333333333333335,47.333333333333336,26.0,16.0,11.666666666666666,8.666666666666666,1.3333333333333333,4.333333333333333,0.0,0.0
Simon Navarro,,0.8333333333333334,3.3333333333333335,62.833333333333336,39.166666666666664,23.166666666666668,11.333333333333334,9.5,3.6666666666666665,7.666666666666667,0.0,0.0
Omar Giacalone,,1.048780487804878,4.146341463414634,71.34146341463415,41.19512195121951,26.195121951219512,14.536585365853659,10.731707317073171,4.341463414634147,8.024390243902438,0.6028258215463579,0.0
Jacopo Stefanini,,2.0,3.3333333333333335,70.0,40.833333333333336,24.166666666666668,12.833333333333334,10.5,5.5,10.0,0.28354978354978355,0.0
Davide Pontoglio,,2.0,3.2857142857142856,65.42857142857143,42.857142857142854,27.142857142857142,10.571428571428571,9.857142857142858,4.714285714285714,7.714285714285714,0.9996309544086754,0.0
Deiton Baughman,,3.8947368421052633,4.105263157894737,71.78947368421052,42.26315789473684,28.894736842105264,13.263157894736842,10.736842105263158,5.105263157894737,8.31578947368421,0.6675831758134159,0.0
Russell Benkaim,,3.5,8.0,85.5,44.0,29.5,16.5,12.5,7.5,12.5,0.0,0.0
Juan Manuel Benitez Chavarriaga,,2.5,3.8333333333333335,80.66666666666667,51.833333333333336,32.833333333333336,13.666666666666666,11.333333333333334,6.166666666666667,9.666666666666666,1.455703064690443,0.0
Gonzalo Escobar,178.0,3.1707317073170733,3.5121951219512195,76.63414634146342,48.78048780487805,31.975609756097562,13.390243902439025,11.609756097560975,4.414634146341464,7.7560975609756095,0.4639950362203064,0.0
Peter Nagy,180.0,1.3214285714285714,2.7142857142857144,65.89285714285714,42.17857142857143,26.107142857142858,10.821428571428571,9.928571428571429,4.535714285714286,8.071428571428571,0.5390713494627751,0.0
Laurent Lokoli,188.0,5.083333333333333,3.2916666666666665,74.66666666666667,43.9375,30.104166666666668,14.395833333333334,11.416666666666666,4.020833333333333,7.354166666666667,0.8346961242230274,0.0
Marcus Willis,191.0,9.727272727272727,3.696969696969697,74.54545454545455,46.333333333333336,34.60606060606061,12.636363636363637,11.333333333333334,4.0,6.242424242424242,1.1727966430153374,0.0
Daniel Munoz de la Nava,178.0,,,,,,,,,,0.7498422618511514,0.0
Niels Desein,190.0,9.0,5.0,72.5,40.0,30.0,18.0,11.5,1.5,2.5,0.4402441016976084,0.0
Oliver Anderson,,2.2,3.2,78.0,44.6,29.7,15.1,11.5,3.6,7.2,1.6286873792678536,0.0
Matthieu Roy,,5.666666666666667,5.0,59.333333333333336,29.333333333333332,22.0,14.333333333333334,9.0,4.0,6.0,0.2400489895897122,0.0
Romain Arneodo,175.0,3.0588235294117645,2.1176470588235294,71.67647058823529,47.44117647058823,30.41176470588235,11.794117647058824,10.558823529411764,4.4411764705882355,7.5,0.5005264036361259,0.0
Jc Aragone,178.0,5.086956521739131,2.9565217391304346,77.15217391304348,48.08695652173913,31.565217391304348,14.804347826086957,11.543478260869565,4.521739130434782,7.586956521739131,0.8620056931436718,0.0
Gonzales Austin,,2.8823529411764706,1.7647058823529411,64.58823529411765,38.1764705882353,26.764705882352942,14.352941176470589,10.176470588235293,3.9411764705882355,6.117647058823529,0.804684345221784,0.0
Jarryd Chaplin,,5.2592592592592595,5.037037037037037,65.22222222222223,40.03703703703704,27.925925925925927,10.555555555555555,9.814814814814815,4.074074074074074,6.925925925925926,0.04174757281553398,0.0
Aron Hiltzik,,4.2272727272727275,4.136363636363637,78.95454545454545,43.31818181818182,29.636363636363637,17.227272727272727,12.045454545454545,4.7272727272727275,8.227272727272727,0.42077141525303463,0.0
Petros Chrysochos,185.0,2.46875,2.40625,70.71875,41.90625,26.3125,14.53125,10.8125,4.34375,7.90625,0.7366656250089959,0.0
Jonathan Ho,,2.8,5.4,56.6,25.4,17.8,12.6,8.8,3.4,6.6,0.0,0.0
Carl Soderlund,188.0,2.391304347826087,3.0,82.8695652173913,49.08695652173913,32.0,16.391304347826086,12.304347826086957,5.434782608695652,9.26086956521739,0.7984758357040883,0.0
Adrian Bodmer,180.0,4.944444444444445,2.7222222222222223,70.61111111111111,39.27777777777778,27.944444444444443,15.166666666666666,10.61111111111111,4.444444444444445,7.333333333333333,0.519336356685024,0.0
Philip Davydenko,183.0,1.5384615384615385,2.1538461538461537,71.1025641025641,49.256410256410255,30.333333333333332,10.538461538461538,10.58974358974359,4.769230769230769,8.256410256410257,0.6089046801368238,0.0
Shalva Dzhanashia,,1.3513513513513513,5.27027027027027,67.56756756756756,45.648648648648646,27.513513513513512,9.54054054054054,10.324324324324325,4.351351351351352,8.35135135135135,0.46329062201693216,0.0
Joel Vincent Link,,2.25,5.0,58.0,29.0,17.0,12.5,8.0,5.25,9.25,0.0,0.0
Luca Pancaldi,,3.888888888888889,1.3333333333333333,63.22222222222222,41.333333333333336,29.88888888888889,10.333333333333334,10.11111111111111,4.111111111111111,6.222222222222222,0.25607632068306224,0.0
Enrico Becuzzi,,0.6363636363636364,5.545454545454546,42.95454545454545,22.0,10.772727272727273,6.2272727272727275,6.954545454545454,3.272727272727273,8.318181818181818,0.0,0.0
Nerman Fatic,191.0,3.1,3.08,68.16,44.66,29.36,11.1,10.42,3.98,7.14,0.5082833154979346,0.0
Ilija Vucic,145.0,3.4285714285714284,3.4761904761904763,63.38095238095238,35.333333333333336,23.857142857142858,13.80952380952381,9.571428571428571,3.761904761904762,6.619047619047619,0.38878705961919635,0.0
