,ht,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,win_ratio,top_25_reached
Simone Bolelli,183.0,,,,,,,,,,0.8455505152747413,0.0
Ilya Ivashka,193.0,3.5434782608695654,2.108695652173913,70.15217391304348,44.69565217391305,30.956521739130434,12.804347826086957,10.91304347826087,4.086956521739131,6.543478260869565,0.6595285795806722,0.0
Jiri Vesely,198.0,4.979166666666667,3.375,72.875,45.958333333333336,31.833333333333332,13.104166666666666,11.270833333333334,4.3125,7.0625,0.6749268208233462,0.0
Michael Mmoh,188.0,3.4166666666666665,3.7083333333333335,67.66666666666667,43.0,29.291666666666668,12.375,10.6875,3.375,6.020833333333333,0.938077418181798,0.0
Ramkumar Ramanathan,188.0,6.085106382978723,4.404255319148936,78.1063829787234,43.787234042553195,31.25531914893617,16.829787234042552,11.72340425531915,3.9574468085106385,6.638297872340425,0.5388224634664482,0.0
Evgeny Donskoy,185.0,6.352941176470588,2.764705882352941,71.47058823529412,38.1764705882353,28.529411764705884,17.470588235294116,11.176470588235293,4.235294117647059,6.294117647058823,0.8893900779892894,0.0
Tennys Sandgren,188.0,4.270833333333333,2.375,76.54166666666667,44.604166666666664,30.416666666666668,15.166666666666666,11.4375,4.583333333333333,7.854166666666667,0.4721307353724192,0.0
Cameron Norrie,188.0,3.693877551020408,2.9591836734693877,66.6734693877551,41.0,27.73469387755102,12.714285714285714,10.204081632653061,4.183673469387755,6.857142857142857,0.7082184299253194,1.0
Jan Lennard Struff,193.0,4.777777777777778,3.6,74.86666666666666,39.51111111111111,27.08888888888889,17.91111111111111,11.222222222222221,3.8666666666666667,6.911111111111111,0.6237913451532111,1.0
Philipp Kohlschreiber,178.0,4.428571428571429,2.4285714285714284,75.71428571428571,38.142857142857146,24.857142857142858,18.428571428571427,11.428571428571429,5.714285714285714,9.428571428571429,0.6910837299294053,1.0
Taylor Fritz,193.0,8.391304347826088,2.5869565217391304,73.67391304347827,41.21739130434783,31.32608695652174,17.347826086956523,11.23913043478261,3.9565217391304346,5.456521739130435,1.5770905029187723,1.0
Pablo Carreno Busta,188.0,2.82,1.8,71.82,42.72,29.56,14.2,11.14,3.84,6.78,0.5635478823222267,1.0
Leonardo Mayer,188.0,,,,,,,,,,0.5790573974836895,1.0
Fabio Fognini,178.0,2.0,3.6666666666666665,89.83333333333333,50.0,30.666666666666668,19.666666666666668,12.333333333333334,4.833333333333333,9.0,0.5957128677399006,1.0
Joao Sousa,185.0,3.2195121951219514,2.2195121951219514,71.21951219512195,43.51219512195122,29.26829268292683,13.390243902439025,11.0,4.121951219512195,7.2682926829268295,0.7352532142053836,0.0
David Ferrer,175.0,0.0,2.0,81.0,50.0,27.0,18.0,13.0,3.0,8.0,0.6507786309272195,1.0
Jose Rubin Statham,183.0,4.346153846153846,2.230769230769231,69.6923076923077,45.42307692307692,30.576923076923077,11.73076923076923,10.884615384615385,3.4615384615384617,6.3076923076923075,0.5267263248874707,0.0
Matteo Berrettini,196.0,6.653061224489796,1.6734693877551021,69.14285714285714,42.326530612244895,32.673469387755105,14.591836734693878,11.26530612244898,2.877551020408163,4.326530612244898,0.9654658506656166,1.0
Ugo Humbert,188.0,7.326530612244898,3.795918367346939,78.65306122448979,44.61224489795919,32.61224489795919,17.755102040816325,11.489795918367347,4.224489795918367,6.673469387755102,0.7056041827354137,1.0
Peter Gojowczyk,185.0,5.117647058823529,2.4705882352941178,61.294117647058826,34.35294117647059,25.470588235294116,13.764705882352942,9.882352941176471,2.823529411764706,5.0,0.6015665391804633,0.0
Andreas Seppi,190.0,2.5,2.0,68.0,39.5,24.0,15.5,11.0,4.0,7.5,0.8387482974737134,1.0
Diego Schwartzman,170.0,1.24,2.66,63.68,38.0,23.2,12.92,10.02,3.54,7.22,0.5518456911490432,1.0
Stefanos Tsitsipas,193.0,7.125,2.5,79.29166666666667,46.916666666666664,34.041666666666664,16.125,11.958333333333334,3.75,6.145833333333333,0.5341153378978133,1.0
Yoshihito Nishioka,170.0,2.5,2.2,69.04,39.02,26.02,15.3,10.76,3.82,6.92,0.7641677589116032,0.0
Guido Andreozzi,183.0,3.3,2.68,68.72,40.02,27.56,14.84,10.9,3.72,6.58,0.6496425979923135,0.0
Martin Klizan,190.0,3.6666666666666665,4.333333333333333,68.33333333333333,33.333333333333336,21.666666666666668,16.333333333333332,10.333333333333334,5.333333333333333,8.666666666666666,0.9977714901624443,0.0
Sam Querrey,198.0,11.411764705882353,3.235294117647059,79.17647058823529,45.1764705882353,34.1764705882353,16.941176470588236,12.882352941176471,3.588235294117647,5.882352941176471,1.1214072682484337,1.0
Reilly Opelka,211.0,15.78048780487805,4.146341463414634,80.60975609756098,46.46341463414634,36.609756097560975,19.170731707317074,12.902439024390244,2.682926829268293,4.0,1.8627863989503712,1.0
Frances Tiafoe,188.0,6.543478260869565,2.8043478260869565,80.6086956521739,49.26086956521739,35.02173913043478,15.326086956521738,12.369565217391305,4.260869565217392,7.065217391304348,0.7633388909082437,1.0
Alexei Popyrin,196.0,4.6,3.78,69.58,40.06,28.56,13.6,10.68,3.62,6.48,0.9410946210476435,0.0
Lucas Pouille,185.0,3.82,3.86,76.8,43.94,29.94,16.72,11.7,4.32,7.32,0.4361329729064144,1.0
Rafael Nadal,185.0,1.2307692307692308,1.1538461538461537,70.76923076923077,52.69230769230769,32.76923076923077,8.76923076923077,10.76923076923077,5.538461538461538,8.76923076923077,1.7585329411758643,1.0
Filip Krajinovic,185.0,4.588235294117647,2.176470588235294,74.23529411764706,46.1764705882353,29.88235294117647,13.411764705882353,11.117647058823529,4.470588235294118,8.058823529411764,4.367202462371091,0.0
Marin Cilic,198.0,5.235294117647059,3.5294117647058822,78.17647058823529,42.11764705882353,29.705882352941178,17.0,11.823529411764707,4.647058823529412,7.823529411764706,1.1414492524483277,1.0
Alex Bolt,183.0,7.239130434782608,3.0652173913043477,73.3695652173913,45.28260869565217,32.43478260869565,14.630434782608695,11.41304347826087,4.065217391304348,6.195652173913044,0.46209665366860164,0.0
Roger Federer,185.0,6.38,3.2,74.56,44.14,33.72,16.34,11.96,3.22,4.86,0.23679616062532013,1.0
Daniel Evans,175.0,5.588235294117647,3.823529411764706,72.52941176470588,43.705882352941174,29.823529411764707,13.176470588235293,11.470588235294118,3.8823529411764706,7.411764705882353,0.6619535190752632,1.0
Taro Daniel,191.0,1.54,2.34,70.66,47.3,30.02,11.88,10.84,4.0,7.12,0.7233919623249442,0.0
Alexander Zverev,198.0,4.54,3.64,70.52,40.36,27.44,15.0,10.88,3.92,6.86,1.8073548560656942,1.0
Thomas Fabbiano,173.0,2.7,5.4,83.6,45.8,29.0,17.6,12.4,6.1,10.6,0.6855018191955325,0.0
Dominic Thiem,185.0,4.46,2.78,68.7,36.7,26.2,16.6,10.9,3.3,5.78,0.8163119281158485,1.0
Karen Khachanov,198.0,4.836734693877551,2.9591836734693877,72.08163265306122,41.61224489795919,28.653061224489797,14.755102040816327,11.061224489795919,4.040816326530612,7.061224489795919,1.2970889881324221,1.0
Borna Coric,188.0,5.166666666666667,2.125,68.83333333333333,40.708333333333336,29.395833333333332,14.625,10.708333333333334,3.6458333333333335,5.770833333333333,1.8928838533837133,1.0
David Goffin,180.0,4.214285714285714,3.2142857142857144,66.92857142857143,40.67857142857143,28.607142857142858,13.035714285714286,10.607142857142858,3.392857142857143,5.892857142857143,0.7584339202473269,1.0
Hyeon Chung,188.0,2.0816326530612246,2.2244897959183674,64.9795918367347,41.244897959183675,27.53061224489796,12.081632653061224,10.183673469387756,3.4693877551020407,6.183673469387755,0.5643473790625693,1.0
Denis Shapovalov,185.0,7.428571428571429,4.857142857142857,73.63265306122449,41.57142857142857,31.081632653061224,16.857142857142858,11.693877551020408,3.326530612244898,5.428571428571429,1.1814346945938008,1.0
Gael Monfils,193.0,7.5,4.0,78.60714285714286,40.285714285714285,29.071428571428573,17.178571428571427,11.75,4.535714285714286,8.0,1.800117696984204,1.0
Viktor Troicki,193.0,8.0,1.0,85.5,52.5,37.0,17.5,13.5,1.5,4.0,0.8777458707779577,1.0
Stefano Travaglia,185.0,4.36734693877551,3.673469387755102,74.53061224489795,43.57142857142857,29.79591836734694,15.755102040816327,11.204081632653061,4.020408163265306,6.836734693877551,0.7871300972278004,0.0
